epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8169,1.03576,0.52755,1.20545,0.9306,0.79477,0.8533,0.53216,1.08699,0.51979,1.44685,0.000550324,0.000550324,0.000550324
2,79.5436,1.17656,0.59596,1.27651,0.78995,0.68001,0.73884,0.46207,1.20209,1.12756,1.51438,0.00108409,0.00108409,0.00108409
3,117.546,1.23667,0.65487,1.31949,0.85922,0.73152,0.78498,0.46605,1.27884,0.7981,1.5633,0.00159586,0.00159586,0.00159586
4,155.521,1.2691,0.6823,1.35259,0.8655,0.8056,0.84622,0.48758,1.24243,0.72505,1.51066,0.00156798,0.00156798,0.00156798
5,193.333,1.24947,0.67709,1.33527,0.90629,0.70907,0.81003,0.48755,1.16671,0.70701,1.4811,0.00153497,0.00153497,0.00153497
6,231.325,1.22521,0.67599,1.32444,0.86434,0.78637,0.8336,0.52179,1.11744,0.65493,1.44896,0.00150197,0.00150197,0.00150197
7,269.227,1.22593,0.64776,1.3117,0.82416,0.77668,0.78811,0.49935,1.14984,0.67269,1.40216,0.00146896,0.00146896,0.00146896
8,307.159,1.24206,0.65494,1.30884,0.83472,0.78471,0.82662,0.51583,1.18118,0.75976,1.50861,0.00143595,0.00143595,0.00143595
9,345.119,1.23403,0.65426,1.33559,0.82911,0.77727,0.81357,0.50797,1.18067,0.60783,1.45643,0.00140295,0.00140295,0.00140295
10,382.944,1.19298,0.62035,1.29327,0.83864,0.77389,0.82444,0.50349,1.16242,0.61087,1.45708,0.00136994,0.00136994,0.00136994
11,420.769,1.2135,0.62324,1.30686,0.83393,0.78714,0.84602,0.5165,1.13156,0.64256,1.41565,0.00133693,0.00133693,0.00133693
12,458.608,1.20255,0.62697,1.29238,0.82786,0.80162,0.81882,0.51102,1.11675,0.61822,1.41493,0.00130393,0.00130393,0.00130393
